epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
10;0.12374072199244983;0.9554375;0.4060447666441057;0.9264358723404718;0.4404432132963989;0.95592564;0.6666667;0.9994109;0.024930747;0.955125;0.40472117864231255;0.9179185853228767;0.11318848330236506;0.4558011049723757;0.955678;0.61538464;0.99934536;0.022099448
11;0.1164328374847828;0.954875;0.4065660141646181;0.9176887178895882;0.44005449591280654;0.9558104;0.6304348;0.9988864;0.03950954;0.955375;0.4076103353459669;0.9241664820307222;0.10616502143908292;0.43007915567282323;0.9555806;0.75;0.99973816;0.016620498
12;0.11970718187524472;0.9581875;0.3717512653035887;0.9205769265376558;0.4046920821114369;0.9619678;0.5448276;0.99569136;0.11583578;0.9555;0.4343918517599227;0.9138386865659592;0.10655660159524996;0.4444444444444444;0.9584858;0.64;0.9964581;0.12732096
13;0.12348313125083223;0.959625;0.3937474670732039;0.9227652855729245;0.41935483870967744;0.963895;0.5945946;0.99510413;0.16152717;0.957;0.3629280350889346;0.9175421419127499;0.1053523700402584;0.38243626062322944;0.95959723;0.58181816;0.9969923;0.09065156
14;0.11717475614900467;0.9595625;0.43103500578009557;0.9283469477287983;0.4544179523141655;0.9689342;0.58247423;0.98940414;0.31786215;0.954375;0.3861692352222133;0.9138903183029996;0.11019558373722248;0.4077922077922078;0.96398467;0.5117647;0.9891233;0.23577236
15;0.12008864506729879;0.95925;0.40600034337890256;0.9299367425629239;0.44573082489146165;0.9665754;0.5665529;0.9917042;0.24023154;0.955375;0.42155616641424876;0.927176450183302;0.11395408061135094;0.43556701030927836;0.9631095;0.5903614;0.9910679;0.25322998
16;0.11758041589934146;0.9573125;0.37624430735714787;0.9217068014608705;0.42857142857142855;0.9619102;0.52662724;0.994774;0.12861271;0.95625;0.4377597900190287;0.9192108716673573;0.11519496646826155;0.44473684210526315;0.9593126;0.6744186;0.99632543;0.15263158
17;0.11313702738229768;0.9564375;0.41078008406733707;0.9262592349726777;0.448;0.9639737;0.5835962;0.9913443;0.24666667;0.959375;0.4685341092565154;0.9259098332305644;0.1079018665261101;0.48021108179419525;0.9644767;0.6849315;0.9939641;0.26385224
18;0.12131200011423789;0.9564375;0.41609612475238;0.9234800418868412;0.42699724517906334;0.96349764;0.5527273;0.9919471;0.2093664;0.955875;0.37791998863437165;0.9155255759539838;0.10837544339848683;0.46524064171123;0.9632876;0.5;0.99163073;0.18130311
19;0.1252671497880947;0.958125;0.41323710431995186;0.9173209687215291;0.4521857923497268;0.9634309;0.62249;0.99384373;0.21203831;0.959;0.3641983875309117;0.9150977013172883;0.11573047120100818;0.3764367816091954;0.96419084;0.53608245;0.9941292;0.15522388
20;0.11389753048954299;0.95475;0.45115391359243334;0.9346851185040325;0.4623243933588761;0.9628281;0.5860058;0.99066836;0.256705;0.956625;0.42804179602610265;0.9206390426090825;0.11161505773715907;0.4636118598382749;0.96476895;0.57228917;0.9906934;0.25606468
21;0.11367604635481257;0.958125;0.3595922120031031;0.9229534080298785;0.3871428571428571;0.9630333;0.57425743;0.9943791;0.16571428;0.957875;0.39956082199743365;0.9154193935427574;0.1190416785182897;0.4116022099447514;0.9619228;0.6210526;0.99528795;0.16388889
22;0.12298435714992229;0.954125;0.40181080610806613;0.9262326520673796;0.4249667994687915;0.95687485;0.57758623;0.9967865;0.08909574;0.960625;0.4147475502913439;0.9266801163967293;0.11494697892398108;0.4397590361445783;0.962511;0.6666667;0.997783;0.10240964
23;0.11904457306550466;0.95875;0.44012785251019004;0.9261198036006546;0.45143638850889195;0.96340925;0.64069265;0.99456626;0.20413794;0.955875;0.4317574883634424;0.9206714362459602;0.11539510334061924;0.44501278772378516;0.96031946;0.64285713;0.9947472;0.18701299
